Wavelet,Level,SSIM,PSNR (dB),MSE,LL shape
db2,1,0.012110290066650107,-43.8705068774614,24380.953125,"(1253, 1515)"
db2,2,0.01226810914536162,-43.870509243861335,24380.96484375,"(628, 759)"
db2,3,0.011529570604242744,-43.8705208660602,24381.03125,"(315, 381)"
db2,4,0.012983111116688097,-43.87054882632139,24381.1875,"(159, 192)"
db2,5,0.011827502475922954,-43.87062469582082,24381.615234375,"(81, 97)"
sym4,1,0.012047157094452015,-43.87050848847292,24380.9609375,"(1255, 1517)"
sym4,2,0.011714076996953881,-43.87051555709171,24381.0,"(631, 762)"
sym4,3,0.010857954231002236,-43.8705279085457,24381.0703125,"(319, 384)"
sym4,4,0.010963820029507236,-43.87054380436962,24381.16015625,"(163, 195)"
sym4,5,0.010996217662237188,-43.87054989571353,24381.1953125,"(85, 101)"
coif1,1,0.012118487996135355,-43.87050797453837,24380.958984375,"(1254, 1516)"
coif1,2,0.012322806716431522,-43.87051668661698,24381.0078125,"(629, 760)"
coif1,3,0.0120044218092233,-43.870532934600995,24381.09765625,"(317, 382)"
coif1,4,0.011487866849619742,-43.8705328353462,24381.09765625,"(161, 193)"
coif1,5,0.012913326615356933,-43.870570087518246,24381.306640625,"(83, 99)"
bior4.4,1,0.012065881861051593,-43.87050806330766,24380.958984375,"(1256, 1518)"
bior4.4,2,0.01184978139252264,-43.87050770596254,24380.95703125,"(632, 763)"
bior4.4,3,0.010712489028374603,-43.8705187155924,24381.017578125,"(320, 386)"
bior4.4,4,0.011941062265034786,-43.87054439822539,24381.162109375,"(164, 197)"
bior4.4,5,0.011879129821752966,-43.87055775610976,24381.23828125,"(86, 103)"
haar,1,0.012308084560361582,-43.87050989504772,24380.970703125,"(1252, 1514)"
haar,2,0.012400433686937693,-43.87051399312342,24380.9921875,"(626, 757)"
haar,3,0.012374106717815692,-43.8705328075434,24381.09765625,"(313, 379)"
haar,4,0.010316793939908715,-43.87056309702806,24381.267578125,"(157, 190)"
haar,5,0.0064271588497430265,-43.870578241912625,24381.353515625,"(79, 95)"
